year,month,day_of_month,day_of_week,fl_date,origin,origin_city_name,origin_state_nm,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,cancelled,air_time,distance,weather_delay,late_aircraft_delay
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1918.0,11.0,1929.0,2128.0,9.0,0,239.0,1709,0,101
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2243.0,18.0,2301.0,145.0,7.0,0,284.0,1972,0,61
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2058.0,14.0,2112.0,2338.0,5.0,0,206.0,1501,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1618.0,22.0,1640.0,1838.0,5.0,0,298.0,2174,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1715.0,19.0,1734.0,1935.0,4.0,0,121.0,919,0,19
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,846.0,34.0,920.0,1147.0,8.0,0,327.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1404.0,27.0,1431.0,1603.0,6.0,0,92.0,650,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,640.0,21.0,701.0,906.0,3.0,0,125.0,919,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,726.0,14.0,740.0,1001.0,8.0,0,141.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1039.0,31.0,1110.0,1323.0,8.0,0,133.0,1013,0,63
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,637.0,14.0,651.0,838.0,10.0,0,167.0,1197,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1851.0,16.0,1907.0,2132.0,5.0,0,145.0,1089,0,16
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1718.0,21.0,1739.0,1820.0,3.0,0,41.0,204,0,28
